#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,MonthSeason,MonthYear
31,Austin Gomber,COL,.293,1.09,17.2%,43.1%,39.7%,4.3%,8.7%,5,2.14,120,215,335,46.7%,30.0%,23.3%,20.0%,58.3%,21.7%,1,4
32,Zack Greinke,KCR,.267,1.07,25.3%,38.7%,36.0%,11.1%,3.7%,6,2.45,127,209,336,39.5%,32.9%,27.6%,17.1%,57.9%,25.0%,1,4
33,Carlos Carrasco,NYM,.271,1.04,18.3%,41.7%,40.0%,8.3%,8.3%,11,4.50,106,217,323,45.9%,27.9%,26.2%,11.5%,68.9%,19.7%,1,4
34,Walker Buehler,LAD,.261,1.00,17.1%,41.4%,41.4%,6.9%,6.9%,12,4.38,117,246,363,39.4%,31.0%,29.6%,21.1%,52.1%,26.8%,1,4
35,Jesus Luzardo,MIA,.273,1.00,28.9%,35.6%,35.6%,12.5%,6.3%,7,3.10,123,219,342,44.4%,35.6%,20.0%,17.8%,42.2%,40.0%,1,4
36,Zach Plesac,CLE,.296,1.00,23.3%,38.4%,38.4%,7.1%,10.7%,6,2.53,111,202,313,45.9%,31.1%,23.0%,12.2%,51.4%,36.5%,1,4
37,Logan Gilbert,SEA,.246,1.00,24.1%,37.9%,37.9%,13.6%,4.5%,16,6.45,131,235,366,31.0%,39.7%,29.3%,24.1%,43.1%,32.8%,1,4
38,Joan Adon,WSN,.314,1.00,20.5%,39.7%,39.7%,0.0%,13.8%,10,3.86,167,254,421,41.9%,37.8%,20.3%,13.5%,48.6%,37.8%,1,4
39,Shane Bieber,CLE,.250,0.97,20.8%,39.0%,40.3%,3.2%,9.7%,16,4.91,156,286,442,36.7%,38.0%,25.3%,13.9%,55.7%,30.4%,1,4
40,Chris Flexen,SEA,.274,0.97,19.2%,39.7%,41.1%,6.7%,6.7%,5,1.88,125,218,343,38.7%,30.7%,30.7%,14.7%,57.3%,28.0%,1,4
41,Cal Quantrill,CLE,.221,0.96,23.9%,37.3%,38.8%,11.5%,3.8%,17,6.95,137,218,355,40.6%,27.5%,31.9%,11.6%,60.9%,27.5%,1,4
42,Sean Manaea,SDP,.234,0.91,16.3%,40.0%,43.8%,2.9%,8.6%,11,3.30,149,299,448,38.8%,38.8%,22.5%,11.3%,56.3%,32.5%,1,4
43,Tyler Mahle,CIN,.388,0.89,23.9%,35.8%,40.3%,18.5%,0.0%,8,3.22,154,261,415,41.8%,26.9%,31.3%,22.4%,50.7%,26.9%,1,4
44,Madison Bumgarner,ARI,.197,0.87,15.2%,39.4%,45.5%,16.7%,6.7%,5,1.96,147,248,395,42.6%,32.4%,25.0%,22.1%,50.0%,27.9%,1,4
45,Robbie Ray,SEA,.268,0.86,19.8%,37.2%,43.0%,18.9%,10.8%,13,3.86,156,294,450,51.2%,32.6%,16.3%,12.8%,54.7%,32.6%,1,4
46,Kyle Hendricks,CHC,.306,0.84,22.4%,35.5%,42.1%,18.8%,12.5%,24,8.76,169,243,412,38.2%,34.2%,27.6%,19.7%,48.7%,31.6%,1,4
47,Justin Verlander,HOU,.190,0.79,16.7%,36.7%,46.7%,3.6%,10.7%,10,3.46,103,240,343,31.1%,42.6%,26.2%,18.0%,49.2%,32.8%,1,4
48,Max Scherzer,NYM,.196,0.72,15.7%,35.3%,49.0%,12.0%,4.0%,17,6.12,123,256,379,38.5%,32.7%,28.8%,25.0%,50.0%,25.0%,1,4
49,Alek Manoah,TOR,.210,0.69,15.6%,34.4%,50.0%,3.1%,6.3%,11,3.96,120,240,360,39.1%,32.8%,28.1%,17.2%,64.1%,18.8%,1,4
50,Joe Ryan,MIN,.163,0.67,8.2%,36.7%,55.1%,14.8%,7.4%,13,5.09,110,217,327,39.2%,31.4%,29.4%,23.5%,47.1%,29.4%,1,4
51,Jose Berrios,TOR,.325,0.66,27.5%,28.8%,43.8%,8.6%,11.4%,13,4.88,126,258,384,34.6%,33.3%,32.1%,18.5%,46.9%,34.6%,1,4
52,Carlos Rodon,SFG,.268,0.64,12.2%,34.1%,53.7%,18.2%,0.0%,15,5.87,124,254,378,39.0%,31.7%,29.3%,31.7%,41.5%,26.8%,1,4
53,Eric Lauer,MIL,.294,0.60,23.1%,28.8%,48.1%,4.0%,12.0%,16,6.17,122,248,370,41.5%,26.4%,32.1%,17.0%,45.3%,37.7%,1,4
54,Elieser Hernandez,MIA,.286,0.53,16.1%,29.0%,54.8%,14.7%,17.6%,21,9.30,116,236,352,35.5%,30.6%,33.9%,22.6%,51.6%,25.8%,1,4
55,Luis Garcia,HOU,.200,0.50,10.0%,30.0%,60.0%,16.7%,13.9%,11,4.57,102,193,295,41.7%,25.0%,33.3%,20.0%,40.0%,40.0%,1,4
