#,Name,Team,IP,wFA,wFC,wFS,wSI,wCH,wSL,wCU,wCS,wKN,wSB,MonthSeason,MonthYear
31,Tyler Wells,BAL,26.0,0.3, , , ,1.7,0.9,0.0, , , ,3,6
32,Taijuan Walker,NYM,37.2,0.2,-0.1,6.9,0.7, ,0.5,-0.9, , , ,3,6
33,Dakota Hudson,STL,35.1,0.2,4.0, ,-1.8,-0.1,0.4, , , , ,3,6
34,Corbin Burnes,MIL,28.2,0.1,3.0, ,-0.9,0.7,-0.1,-2.9, , , ,3,6
35,Justin Steele,CHC,29.2,0.1, , ,-1.8,0.3,1.4,0.0, , , ,3,6
36,Jason Alexander,MIL,30.2,0.1, , ,-2.4,-3.2,-0.7, , , , ,3,6
37,Corey Kluber,TBR,28.1,0.1,2.4, ,0.4,1.8,-1.7, , , , ,3,6
38,Dane Dunning,TEX,33.2,0.1,-0.3, ,-4.8,0.7,2.0, , , , ,3,6
39,Jeffrey Springs,TBR,26.2,0.0, , , ,-4.1,4.1, , , , ,3,6
40,Shane Bieber,CLE,37.1,-0.1,1.4, , ,0.5,6.1,-2.4, , , ,3,6
41,Framber Valdez,HOU,32.0,-0.1, , ,5.9,-0.5,1.0,-1.3, , , ,3,6
42,Cole Irvin,OAK,35.1,-0.2,0.1, ,-1.9,1.7,-0.8,-0.8, , , ,3,6
43,Yu Darvish,SDP,35.2,-0.2,0.2,-1.1,1.4,0.4,5.7,0.8,0.0, , ,3,6
44,Adam Wainwright,STL,32.0,-0.2,0.1, ,-2.3,-1.2, ,1.4, , , ,3,6
45,Logan Webb,SFG,30.1,-0.2, , ,0.7,2.7,3.0, , , , ,3,6
46,Robbie Ray,SEA,37.0,-0.3, , ,2.8,-0.4,1.9,-0.6, , , ,3,6
47,Luis Severino,NYY,30.0,-0.3,0.5, ,-0.3,1.7,2.9, , , , ,3,6
48,Frankie Montas,OAK,31.0,-0.3, ,-0.8,-1.3, ,3.7, , , , ,3,6
49,Jose Urquidy,HOU,29.1,-0.4,0.5, , ,0.4,1.3,-0.3, , , ,3,6
50,Johnny Cueto,CHW,35.1,-0.4,-3.5, ,-4.0,1.4,3.2,1.0, , , ,3,6
51,Kyle Freeland,COL,33.0,-0.6,0.4, ,0.4,1.0,-1.0, , , , ,3,6
52,Jordan Montgomery,NYY,32.0,-0.6,-0.9, ,3.7,0.2, ,-0.4, , , ,3,6
53,Tyler Anderson,LAD,28.1,-0.8,-1.9, ,0.5,3.1, ,-0.1, , , ,3,6
54,Eric Lauer,MIL,27.2,-0.8,-3.4, , ,-1.6,1.1,-0.8, , , ,3,6
55,Antonio Senzatela,COL,28.1,-0.8, , ,-0.3,-0.2,-4.1,0.9, , , ,3,6
56,Tarik Skubal,DET,32.1,-0.9, , ,0.1,0.7,-1.8,-0.4, , , ,3,6
57,Patrick Corbin,WSN,27.1,-1.0, , ,-5.0,0.3,-3.7, , , , ,3,6
58,Chris Bassitt,NYM,30.2,-1.1,-0.9, ,2.5,-1.1,1.6,1.5, , , ,3,6
59,Keegan Thompson,CHC,27.1,-1.2,2.0, ,0.7,-0.2,-0.1,-3.2, , , ,3,6
60,German Marquez,COL,34.0,-1.4, , ,-1.0,-0.5,-1.9,0.7, , , ,3,6
