#,Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,MonthSeason,MonthYear
31,Robbie Ray,SEA,58.7%,92.6,38.4%,86.5, , ,2.7%,77.3,0.2%,85.0, , , , , ,1,4
32,Miles Mikolas,STL,42.1%,92.5,29.8%,87.7, , ,20.8%,75.3,7.4%,83.3, , , , , ,1,4
33,Martin Perez,TEX,41.6%,92.5, , ,18.8%,89.6,14.8%,79.0,24.8%,84.1, , , , , ,1,4
34,Merrill Kelly,ARI,43.1%,92.5, , ,20.3%,90.9,14.5%,81.8,22.1%,88.3, , , , , ,1,4
35,Cal Quantrill,CLE,48.5%,92.4,40.8%,86.7, , ,2.5%,80.1,8.2%,83.8, , , , , ,1,4
36,Chris Bassitt,NYM,44.8%,92.1,16.5%,76.6,23.0%,87.8,10.2%,71.1,5.5%,86.6, , , , , ,1,4
37,Joe Ryan,MIN,52.0%,92.0,30.3%,82.0, , ,7.6%,72.6,10.1%,83.4, , , , , ,1,4
38,Joe Musgrove,SDP,31.6%,92.0,30.4%,82.6,13.2%,89.2,13.2%,80.7,11.7%,85.8, , , , ,0.3%,1,4
39,Aaron Nola,PHI,49.9%,92.0, , ,7.4%,86.5,25.5%,78.2,17.2%,85.3, , , , , ,1,4
40,Logan Webb,SFG,36.3%,91.8,27.8%,82.8, , , , ,35.9%,86.0, , , , , ,1,4
41,Kyle Gibson,PHI,47.4%,91.4,21.8%,83.5,18.8%,88.9,2.3%,80.2,9.8%,84.4, , , , , ,1,4
42,Chris Flexen,SEA,41.4%,91.4, , ,35.0%,87.2,5.8%,74.6,17.8%,81.1, , , , , ,1,4
43,Elieser Hernandez,MIA,48.9%,91.3,39.5%,79.5, , , , ,11.6%,83.7, , , , , ,1,4
44,Cole Irvin,OAK,52.9%,91.1,14.4%,80.2,9.3%,87.4,4.6%,75.9,18.8%,83.6, , , , , ,1,4
45,Zach Plesac,CLE,43.5%,91.1,20.4%,84.0, , ,12.1%,78.4,24.0%,84.7, , , , , ,1,4
46,Madison Bumgarner,ARI,26.3%,91.0,51.1%,87.8, , ,14.7%,78.4,7.8%,84.1, , , , , ,1,4
47,Shane Bieber,CLE,38.0%,90.8,33.7%,84.7,7.9%,86.2,19.0%,82.1,1.4%,86.0, , , , , ,1,4
48,Austin Gomber,COL,39.7%,90.7,32.5%,83.4, , ,14.0%,75.4,13.7%,82.1, , , , ,1.2%,1,4
49,Clayton Kershaw,LAD,38.8%,90.5,43.7%,85.6, , ,15.6%,72.8,1.8%,83.3, , , , , ,1,4
50,Sean Manaea,SDP,61.2%,90.4,15.2%,79.2, , , , ,23.7%,84.4, , , , , ,1,4
51,Dane Dunning,TEX,38.6%,89.6,32.2%,78.2,8.9%,86.2, , ,20.2%,83.6, , , , , ,1,4
52,Dylan Bundy,MIN,49.2%,89.3,21.5%,79.1, , ,10.6%,72.5,18.6%,81.3, , , , , ,1,4
53,Zack Greinke,KCR,39.6%,88.7,20.5%,83.7, , ,22.0%,71.1,17.9%,86.4, , , , , ,1,4
54,Adam Wainwright,STL,36.2%,88.4, , ,22.7%,84.9,30.5%,72.5,10.6%,82.8, , , , , ,1,4
55,Kyle Hendricks,CHC,60.7%,86.7, , , , ,10.0%,73.2,29.4%,80.0, , , , , ,1,4
