#,Name,Team,IP,wFA/C,wFC/C,wFS/C,wSI/C,wCH/C,wSL/C,wCU/C,wCS/C,wKN/C,wSB/C,MonthSeason,MonthYear
61,German Marquez,COL,34.0,-1.05, , ,-0.61,-2.75,-1.78,0.59, , , ,3,2022-06-01
62,Rich Hill,BOS,27.0,-1.16,4.02, ,-1.77,-3.72,-3.16,0.54,7.40, , ,3,2022-06-01
63,Jordan Lyles,BAL,28.2,-1.34, , ,-0.83,-3.66,-0.43,-0.86, , , ,3,2022-06-01
64,Logan Webb,SFG,30.1,-1.41, , ,0.50,1.90,1.47, , , , ,3,2022-06-01
65,Triston McKenzie,CLE,29.1,-1.45, , , , ,-5.78,1.69, , , ,3,2022-06-01
66,Chris Flexen,SEA,33.0,-1.66,0.67, , ,0.24,2.73,-0.21, , , ,3,2022-06-01
67,Chris Bassitt,NYM,30.2,-1.68,-1.15, ,1.50,-3.91,1.49,2.97, , , ,3,2022-06-01
68,Jameson Taillon,NYY,33.1,-1.91,-0.02, ,0.77,-3.48,0.45,0.81, , , ,3,2022-06-01
69,Charlie Morton,ATL,30.2,-2.00, , ,2.55,-3.23,-0.60,2.42, , , ,3,2022-06-01
70,Kyle Hendricks,CHC,27.2,-2.08, , ,0.90,-0.92, ,-0.06, , , ,3,2022-06-01
71,Framber Valdez,HOU,32.0,-2.20, , ,2.23,-1.25,3.15,-1.00, , , ,3,2022-06-01
72,Adrian Houser,MIL,30.0,-2.33, ,-1.17,-0.51, ,2.27,-4.41, , , ,3,2022-06-01
73,Madison Bumgarner,ARI,31.0,-2.59,-1.04, , ,-0.72, ,0.29, , , ,3,2022-06-01
74,Luis Garcia,HOU,27.2,-2.63,2.54, , ,0.41,3.79,2.78, , , ,3,2022-06-01
75,Lucas Giolito,CHW,27.0,-2.65, , , ,-2.98,-0.52,-7.27, , , ,3,2022-06-01
76,Kyle Wright,ATL,38.1,-2.81, , ,2.36,1.85,-0.61,2.35, , , ,3,2022-06-01
77,Cal Quantrill,CLE,31.0,-2.93,-0.73, ,-0.32,-1.58, ,-5.22, , , ,3,2022-06-01
78,Jordan Montgomery,NYY,32.0,-3.09,-1.41, ,2.12,0.16, ,-0.49, , , ,3,2022-06-01
79,Ranger Suarez,PHI,31.0,-3.51,0.33, ,2.04,1.05,3.19,-0.56, , , ,3,2022-06-01
80,Carlos Carrasco,NYM,29.2,-3.54, , ,0.12,-1.82,-0.35,-2.24, , , ,3,2022-06-01
81,Ian Anderson,ATL,28.2,-3.60, , , ,1.80, ,-1.35, , , ,3,2022-06-01
82,Jose Berrios,TOR,28.2,-4.84, , ,1.05,2.01,-0.55, , , , ,3,2022-06-01
83,Paul Blackburn,OAK,26.1,-5.30,-2.93, ,-1.39,2.31,5.50,-0.66, , , ,3,2022-06-01
84,JT Brubaker,PIT,34.1,-10.35, , ,-2.06,-4.70,-0.70,0.66, , , ,3,2022-06-01
85,Chad Kuhl,COL,29.1,-12.28, , ,-0.06,-0.04,0.30,0.59,-3.65, , ,3,2022-06-01
86,Zach Davies,ARI,31.2, ,-5.45, ,0.89,2.60,0.09,-1.41, , , ,3,2022-06-01
87,Alex Wood,SFG,30.1, , , ,0.49,0.72,-0.22, , , , ,3,2022-06-01
88,Sean Manaea,SDP,29.0, , , ,0.32,-0.30,3.77, , , , ,3,2022-06-01
89,Brady Singer,KCR,28.2, , , ,-1.10,0.30,-1.09, , , , ,3,2022-06-01
