#,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,MonthSeason,MonthYear
61,Logan Webb,SFG,38.1,-5.9, , , , ,-9.0,4.8, , , ,-4.5, , ,4,2022-07-01
62,Jake Odorizzi,HOU,28.1,-6.0, ,1.2,-7.4, , ,3.2,6.0, , , , , ,4,2022-07-01
63,Kutter Crawford,BOS,28.0,-6.3, ,1.6, , , ,2.3,4.6, , ,-6.8, , ,4,2022-07-01
64,Jose Urena,COL,27.0,-6.3, , , , ,-8.2,-0.5, , , ,-6.7, , ,4,2022-07-01
65,Gerrit Cole,NYY,38.0,-6.4, ,-0.4, , , ,2.1, ,5.9, ,-8.5, , ,4,2022-07-01
66,Charlie Morton,ATL,30.0,-6.4, ,0.3, , ,-10.5, ,8.7, , ,-10.4, , ,4,2022-07-01
67,Joe Ryan,MIN,26.2,-6.5, , , , , ,0.8,4.8, , ,-10.6, , ,4,2022-07-01
68,Kyle Wright,ATL,30.2,-6.6, , , , ,-9.5,-1.2,4.7, , ,-9.2, , ,4,2022-07-01
69,Adrian Sampson,CHC,32.2,-6.6, ,1.4, , ,-8.9,5.5, , , ,-10.0, , ,4,2022-07-01
70,Jon Gray,TEX,30.1,-6.8, , , , , ,5.9,7.4, , ,-8.0, , ,4,2022-07-01
71,Taijuan Walker,NYM,30.2,-6.8, ,0.1,-7.5, ,-9.5,1.9,3.0, , , , , ,4,2022-07-01
72,Johnny Cueto,CHW,34.0,-7.0, ,-2.0, , ,-9.9,0.9,0.7, , ,-7.1, , ,4,2022-07-01
73,Jose Berrios,TOR,36.0,-7.2, , , , ,-10.3, ,7.8, , ,-8.9, , ,4,2022-07-01
74,Luis Castillo,CIN,28.0,-7.2, , , , ,-10.8,-0.7, , , ,-10.8, , ,4,2022-07-01
75,Sandy Alcantara,MIA,34.0,-7.6, , , , ,-10.6,-0.6,0.1, , ,-10.2, , ,4,2022-07-01
76,Max Scherzer,NYM,32.1,-7.7, ,-1.0, , , ,0.5,8.7, , ,-9.3, , ,4,2022-07-01
77,Aaron Nola,PHI,35.0,-7.9, ,-0.3, , ,-9.7, , ,7.9, ,-8.9, , ,4,2022-07-01
78,Alex Cobb,SFG,36.0, , , ,-8.4, ,-10.0, , ,2.9, , , , ,4,2022-07-01
79,Sean Manaea,SDP,25.0, , , , , ,8.1,-0.8, , , ,7.6, , ,4,2022-07-01
80,Corbin Burnes,MIL,31.1, , ,2.3, , ,-6.7,3.6,5.5, , ,-7.8, , ,4,2022-07-01
