#,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,MonthSeason,MonthYear
1,Dylan Bundy,MIN,21.1,11.9, , , , ,10.2,-0.6,-6.9, , ,3.6, , ,1,2022-04-01
2,Justin Verlander,HOU,26.0,11.7, , , , , ,3.4,-6.6, , ,9.8, , ,1,2022-04-01
3,Chris Flexen,SEA,24.0,11.6, ,4.9, , , ,-2.6,-7.8, , ,5.3, , ,1,2022-04-01
4,Dylan Cease,CHW,22.0,11.5, , , , ,11.2,-0.9, ,-10.7, ,7.5, , ,1,2022-04-01
5,Zach Plesac,CLE,21.1,11.5, , , , ,8.9,4.1,-5.1, , ,7.5, , ,1,2022-04-01
6,Carlos Rodon,SFG,23.0,11.4, , , , , ,-0.3,-7.6, , , , , ,1,2022-04-01
7,Gerrit Cole,NYY,24.0,11.3, ,4.4, , , ,-0.6, ,-8.1, ,6.2, , ,1,2022-04-01
8,Clayton Kershaw,LAD,23.0,11.3, , , , ,11.1,3.5,-9.5, , ,9.7, , ,1,2022-04-01
9,Frankie Montas,OAK,29.2,10.7, ,3.9,1.5, ,7.7,2.0, , , , , , ,1,2022-04-01
10,Yu Darvish,SDP,26.1,10.7, ,-0.2,2.7, ,8.2,-1.6,-8.7,-7.5, , , , ,1,2022-04-01
11,Luis Garcia,HOU,21.2,10.7, ,2.2, , , ,0.6,-3.8, , ,7.0, , ,1,2022-04-01
12,Shane McClanahan,TBR,27.0,10.6, , , , , ,1.6,-6.7, , ,6.0, , ,1,2022-04-01
13,Austin Gomber,COL,21.0,10.6, , , , , ,1.4, ,-9.5, ,7.0, , ,1,2022-04-01
14,Shane Bieber,CLE,29.1,10.5, ,10.2, , , ,2.4, ,-5.7, ,4.8, , ,1,2022-04-01
15,Eric Lauer,MIL,23.1,10.5, ,7.2, , , ,3.3,-5.1, , ,4.2, , ,1,2022-04-01
16,Robbie Ray,SEA,30.1,10.5, , , , , ,4.2, ,-1.6, ,5.8, , ,1,2022-04-01
17,Cal Quantrill,CLE,22.0,10.4, ,3.8, , ,9.4, ,-2.9, , ,5.4, , ,1,2022-04-01
18,Alek Manoah,TOR,25.0,10.4, , , , ,7.4,0.4, , , ,6.1, , ,1,2022-04-01
19,Tyler Mahle,CIN,22.1,10.4, ,6.5,5.6, , ,1.1, , , , , , ,1,2022-04-01
20,Kevin Gausman,TOR,24.2,10.3, , ,2.4, , ,1.6, , , ,2.4, , ,1,2022-04-01
21,Cole Irvin,OAK,27.2,10.1, ,4.8, , ,7.5,10.0,-1.3, , ,5.0, , ,1,2022-04-01
22,Tylor Megill,NYM,28.0,10.0, , , , , ,1.1,-5.8, , ,4.6, , ,1,2022-04-01
23,Elieser Hernandez,MIA,20.1,9.9, , , , , ,6.8, , , ,6.2, , ,1,2022-04-01
24,Logan Gilbert,SEA,22.1,9.9, , , , , ,2.2, ,-5.4, ,3.4, , ,1,2022-04-01
25,Max Scherzer,NYM,25.0,9.8, ,5.1, , , ,3.1,-4.9, , ,2.4, , ,1,2022-04-01
26,Walker Buehler,LAD,24.2,9.8, ,5.1, , ,6.3,0.6, ,-8.0, ,3.5, , ,1,2022-04-01
27,Tarik Skubal,DET,20.2,9.6, , , , ,7.3,4.1, ,-6.4, ,4.5, , ,1,2022-04-01
28,Adam Wainwright,STL,27.0,9.4, ,5.0, , ,7.7, ,-8.6, , ,5.1, , ,1,2022-04-01
29,Kyle Gibson,PHI,27.2,9.4, ,5.0, , ,4.5,0.1,-3.6, , ,2.6, , ,1,2022-04-01
30,Miles Mikolas,STL,29.2,9.4, , , , ,8.0,3.3,-9.1, , ,5.4, , ,1,2022-04-01
