#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,MonthSeason,MonthYear
1,Aaron Nola,PHI,8.5, ,-0.2,2.8,-2.7, , ,2.55, ,-0.59,1.74,-3.02, , ,3,6
2,Sandy Alcantara,MIA,6.5,-1.6, ,-0.1,4.4, , ,2.18,-0.93, ,-8.98,2.45, , ,3,6
3,Carlos Rodon,SFG,6.4,3.8, ,0.3,-0.3, , ,2.03,1.77, ,1.18,-3.25, , ,3,6
4,Justin Verlander,HOU,6.3,2.6, ,-0.2,0.4, , ,1.99,1.60, ,-0.19,4.01, , ,3,6
5,Zack Wheeler,PHI,6.3,-0.1,-2.1,-1.2, ,-0.9, ,2.39,-0.14,-3.03,-1.76, ,-3.90, ,3,6
6,Dean Kremer,BAL,6.3, ,0.9,-1.6,-1.8, , ,3.43, ,0.78,-3.63,-2.54, , ,3,6
7,Jon Gray,TEX,6.2,3.3, ,-2.0,0.7, , ,2.08,1.59, ,-5.37,1.36, , ,3,6
8,Tyler Mahle,CIN,6.2,-0.1,-1.5, , ,-2.8, ,2.20,-0.16,-2.30, , ,-2.21, ,3,6
9,Gerrit Cole,NYY,5.9,1.2,-2.4,0.5,-0.5, , ,2.56,1.05,-4.94,1.13,-1.11, , ,3,6
10,Julio Urias,LAD,5.8, , ,2.2,-2.6, , ,2.55, , ,1.54,-3.45, , ,3,6
11,Merrill Kelly,ARI,5.7, ,-0.3,-0.6,-0.6, , ,2.43, ,-0.44,-0.85,-0.57, , ,3,6
12,Framber Valdez,HOU,5.6, ,1.0,-1.3,-0.5, , ,2.10, ,3.06,-1.03,-1.25, , ,3,6
13,Nick Pivetta,BOS,5.6,0.9, ,1.4,-1.7, , ,1.66,0.81, ,0.86,-16.91, , ,3,6
14,Andre Pallante,STL,4.1,0.2, ,-0.9, , , ,1.44,0.20, ,-1.19, , , ,3,6
15,Max Fried,ATL,3.7,3.3, ,1.0,1.4, , ,1.60,2.57, ,1.11,2.32, , ,3,6
16,Miles Mikolas,STL,3.6,2.3, ,1.9,0.2, , ,1.41,1.79, ,1.76,0.89, , ,3,6
17,Alek Manoah,TOR,3.6,2.2, , ,0.8, , ,0.96,1.41, , ,1.73, , ,3,6
18,Marco Gonzales,SEA,3.6, ,0.4,1.6,-1.1, , ,1.94, ,0.53,2.27,-0.70, , ,3,6
19,Joe Musgrove,SDP,3.2,-0.2,1.0,1.4,0.3, , ,1.99,-0.18,1.17,1.28,1.02, , ,3,6
20,Jordan Montgomery,NYY,2.9, ,-0.9,-0.4,0.1, , ,1.48, ,-1.38,-0.48,0.13, , ,3,6
21,Ross Stripling,TOR,2.7,2.2, ,0.6,3.1, , ,1.65,1.96, ,1.69,2.98, , ,3,6
22,Robbie Ray,SEA,2.5,1.9, ,-0.6,-0.4, , ,0.73,0.96, ,-2.11,-7.78, , ,3,6
23,Martin Perez,TEX,2.2, ,0.8,-1.6,-5.5, , ,1.03, ,0.61,-11.08,-4.13, , ,3,6
24,Chris Bassitt,NYM,2.1,1.6,-1.3,1.5,-1.1, , ,0.89,1.40,-1.80,2.99,-4.09, , ,3,6
25,Zach Davies,ARI,2.0,0.0,-1.7,-0.3,4.5, , ,0.85,-0.37,-5.96,-1.18,2.61, , ,3,6
26,Tony Gonsolin,LAD,1.9,3.5, ,-0.9, ,3.6, ,1.06,3.31, ,-2.70, ,3.07, ,3,6
27,Shohei Ohtani,LAA,1.9,0.5,1.0,0.7, ,2.0, ,1.11,0.33,5.07,1.30, ,2.40, ,3,6
28,Pablo Lopez,MIA,1.7, ,-3.0,0.0,-2.5, , ,0.81, ,-4.51,0.17,-1.45, , ,3,6
29,Shane McClanahan,TBR,1.5,1.2, ,2.4, ,4.2, ,1.03,1.68, ,1.92, ,3.19, ,3,6
30,Beau Brieske,DET,1.4,-0.9, ,0.3,0.2, , ,0.60,-0.83, ,5.10,0.21, , ,3,6
