#,Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,MonthSeason,MonthYear
1,Martin Perez,TEX,1.92,-1.83,3.76,15.03,1.61,1.11,1.02,0.87,1.27,5,1.41,0.32,0,0,2,5
2,Shane McClanahan,TBR,1.31,-1.42,2.73,10.13,1.13,1.11,1.00,0.87,1.32,5,0.90,0.28,0,0,2,5
3,Nestor Cortes,NYY,1.11,-1.13,2.24,8.12,0.90,0.91,0.94,0.87,0.91,5,0.87,0.35,0,0,2,5
4,Nick Pivetta,BOS,1.04,-1.22,2.26,10.24,1.05,0.75,0.76,0.84,0.77,5,1.26,0.14,0,0,2,5
5,Joe Musgrove,SDP,1.04,-1.84,2.88,8.93,0.95,1.11,1.02,0.87,1.37,5,0.57,0.37,0,0,2,5
6,Tarik Skubal,DET,0.98,-1.22,2.20,8.99,0.99,0.92,0.93,0.87,0.90,5,0.88,0.18,0,0,2,5
7,Sandy Alcantara,MIA,0.97,-2.33,3.30,5.98,0.61,1.02,0.97,0.88,0.68,5,0.78,0.17,0,0,2,5
8,Zack Wheeler,PHI,0.96,-1.21,2.17,7.76,0.77,0.83,0.79,0.88,0.69,5,0.80,0.36,0,0,2,5
9,Framber Valdez,HOU,0.86,-2.05,2.91,8.92,0.97,0.90,0.85,0.82,1.42,5,0.66,0.29,0,0,2,5
10,Adam Wainwright,STL,0.79,-0.98,1.78,8.09,0.85,0.74,0.75,0.82,0.52,5,0.97,0.10,0,0,2,5
11,Justin Verlander,HOU,0.79,-0.93,1.72,6.78,0.68,0.68,0.74,0.87,0.53,5,0.51,0.65,0,0,2,5
12,Zac Gallen,ARI,0.77,-2.15,2.92,7.93,0.82,1.03,0.94,0.88,1.11,6,0.63,0.11,0,0,2,5
13,Corbin Burnes,MIL,0.74,-1.77,2.51,8.79,0.95,0.81,0.92,0.88,0.84,6,0.45,0.46,0,0,2,5
14,Yusei Kikuchi,TOR,0.69,-1.54,2.23,6.90,0.72,1.16,1.03,0.89,1.48,5,0.76,-0.17,0,0,2,5
15,Jameson Taillon,NYY,0.69,-1.86,2.55,7.06,0.77,1.09,1.06,0.88,1.53,5,0.68,-0.04,0,0,2,5
16,Frankie Montas,OAK,0.67,-2.15,2.83,6.84,0.77,1.13,1.02,0.87,1.01,6,0.49,0.11,0,0,2,5
17,Jose Quintana,PIT,0.66,-1.58,2.24,5.02,0.53,1.07,1.03,0.88,1.68,5,0.54,0.07,0,0,2,5
18,Pablo Lopez,MIA,0.59,-1.96,2.55,4.94,0.46,0.88,0.90,0.87,0.82,6,0.33,0.33,0,0,2,5
19,Paul Blackburn,OAK,0.54,-2.02,2.56,4.33,0.47,0.92,0.95,0.88,1.30,6,0.14,0.45,0,0,2,5
20,Max Fried,ATL,0.54,-2.64,3.18,5.71,0.57,1.16,1.01,0.87,1.51,6,0.27,0.20,0,0,2,5
21,Michael Lorenzen,LAA,0.54,-1.59,2.13,5.60,0.62,0.84,0.81,0.88,0.90,5,0.42,0.22,0,0,2,5
22,Carlos Carrasco,NYM,0.53,-1.74,2.27,4.34,0.40,0.98,0.91,0.88,1.35,5,0.27,0.27,0,0,2,5
23,Triston McKenzie,CLE,0.51,-1.20,1.70,6.82,0.75,0.66,0.76,0.87,0.41,5,0.56,0.21,0,0,2,5
24,Aaron Nola,PHI,0.48,-1.69,2.17,4.90,0.48,0.84,0.84,0.87,1.03,5,0.22,0.35,0,0,2,5
25,Alek Manoah,TOR,0.43,-2.33,2.76,4.85,0.49,1.07,1.07,0.88,1.20,5,0.21,0.20,0,0,2,5
26,Erick Fedde,WSN,0.35,-2.24,2.59,3.25,0.21,1.09,0.93,0.86,0.75,6,0.09,0.23,0,0,2,5
27,Gerrit Cole,NYY,0.35,-2.07,2.41,3.47,0.38,1.00,0.96,0.88,1.21,5,0.49,-0.14,0,0,2,5
28,Luis Severino,NYY,0.29,-2.16,2.44,2.88,0.32,1.08,0.92,0.88,1.12,5,0.31,-0.04,0,0,2,5
29,Logan Webb,SFG,0.27,-2.11,2.38,3.59,0.34,1.02,1.13,0.87,1.61,5,0.27,-0.01,0,0,2,5
30,Marco Gonzales,SEA,0.26,-2.71,2.97,2.49,0.26,1.11,0.99,0.88,1.59,6,-0.28,0.51,0,0,2,5
